submitted,name_matched,accepted_name,accepted_species,accepted_family,overall_score
Acaena cylindristachya,Acaena cylindristachya,Acaena cylindristachya,Acaena cylindristachya,Rosaceae,1
Acalypha punctata,Acalypha punctata,Acalypha punctata,Acalypha punctata,Euphorbiaceae,1
Acalypha schinzii,Acalypha schinzii,Acalypha depressinervia,Acalypha depressinervia,Euphorbiaceae,1
Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,Asteraceae,1
Achnatherum,Achnatherum,Achnatherum,,Poaceae,1
Achnatherum lettermanii,Achnatherum lettermanii,Eriocoma lettermanii,Eriocoma lettermanii,Poaceae,1
Achnatherum pinetorum,Achnatherum pinetorum,Eriocoma pinetorum,Eriocoma pinetorum,Poaceae,1
Achyrocline ramosissima,Achyrocline ramosissima,Achyrocline ramosissima,Achyrocline ramosissima,Asteraceae,1
Agapanthus campanulatus,Agapanthus campanulatus,Agapanthus campanulatus,Agapanthus campanulatus,Amaryllidaceae,1
Agoseris,Agoseris,Agoseris,,Asteraceae,1
Agoseris glauca,Agoseris glauca,Agoseris glauca,Agoseris glauca,Asteraceae,1
Agrostis breviculmis,Agrostis breviculmis,Agrostis breviculmis,Agrostis breviculmis,Poaceae,1
Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,Poaceae,1
Agrostis foliata,Agrostis foliata,Agrostis foliata,Agrostis foliata,Poaceae,1
Agrostis mertensii,Agrostis mertensii,Agrostis mertensii,Agrostis mertensii,Poaceae,1
Agrostis trichodes,Agrostis trichodes,Podagrostis trichodes,Podagrostis trichodes,Poaceae,1
Ajuga ophrydis,Ajuga ophrydis,Ajuga ophrydis,Ajuga ophrydis,Lamiaceae,1
Albuca fastigiata,Albuca fastigiata,Albuca fastigiata,Albuca fastigiata,Asparagaceae,1
Albuca humilis,Albuca humilis,Albuca humilis,Albuca humilis,Asparagaceae,1
Alchemilla,Alchemilla,Alchemilla,,Rosaceae,1
Alepidea setifera,Alepidea setifera,Alepidea setifera,Alepidea setifera,Apiaceae,1
Alepidea thodei,Alepidea thodei,Alepidea thodei,Alepidea thodei,Apiaceae,1
Aletris pauciflora,Aletris pauciflora,Aletris pauciflora,Aletris pauciflora,Nartheciaceae,1
Allium prattii,Allium prattii,Allium prattii,Allium prattii,Amaryllidaceae,1
Allium sikkimense,Allium sikkimense,Allium sikkimense,Allium sikkimense,Amaryllidaceae,1
Alopecurus ovatus,Alopecurus ovatus,Alopecurus magellanicus,Alopecurus magellanicus,Poaceae,1
Anaphalis flavescens,Anaphalis flavescens,Anaphalis flavescens,Anaphalis flavescens,Asteraceae,1
Anatherostipa hans-meyeri,Anatherostipa hans-meyeri,Stipa hans-meyeri,Stipa hans-meyeri,Poaceae,1
Androsace minor,Androsace minor,Androsace minor,Androsace minor,Primulaceae,1
Androsace septentrionalis,Androsace septentrionalis,Androsace septentrionalis,Androsace septentrionalis,Primulaceae,1
Anemone demissa,Anemone demissa,Anemonastrum demissum,Anemonastrum demissum,Ranunculaceae,1
Anemone rivularis,Anemone rivularis,Eriocapitella rivularis,Eriocapitella rivularis,Ranunculaceae,1
Antennaria,Antennaria,Antennaria,,Asteraceae,1
Antennaria linearifolia,Antennaria linearifolia,Quasiantennaria linearifolia,Quasiantennaria linearifolia,,1
Anthospermum herbaceum,Anthospermum herbaceum,Anthospermum herbaceum,Anthospermum herbaceum,Rubiaceae,1
Anthospermum hispidulum,Anthospermum hispidulum,Anthospermum hispidulum,Anthospermum hispidulum,Rubiaceae,1
Anthospermum streyi,Anthospermum streyi,Anthospermum streyi,Anthospermum streyi,Rubiaceae,1
Anthoxanthum alpinum,Anthoxanthum alpinum,Anthoxanthum nipponicum,Anthoxanthum nipponicum,Poaceae,1
Anthoxanthum ecklonii,Anthoxanthum ecklonii,Anthoxanthum ecklonii,Anthoxanthum ecklonii,Poaceae,1
